scorer,DLC_resnet_50_ictestemar12shuffle1_566500,DLC_resnet_50_ictestemar12shuffle1_566500,DLC_resnet_50_ictestemar12shuffle1_566500
bodyparts,pcaneta,pcaneta,pcaneta
coords,x,y,likelihood
0,90.06759643554688,326.4627685546875,0.9999985694885254
1,92.38832092285156,321.9785461425781,0.999998927116394
2,91.75886535644531,315.6082763671875,0.9999845027923584
3,99.32341766357422,310.0367431640625,0.9999993443489075
4,102.3587875366211,303.1247253417969,0.9999962449073792
5,110.89117431640625,297.33233642578125,0.999998927116394
6,114.1412582397461,290.5819091796875,0.9999997019767761
7,117.89934539794922,283.9243469238281,0.9999996423721313
8,124.69454193115234,277.69287109375,0.9999992251396179
9,130.10643005371094,272.8823547363281,0.9999998807907104
10,131.83033752441406,267.1484069824219,0.9999996423721313
11,136.18768310546875,261.2240295410156,0.9999984502792358
12,140.36146545410156,257.1794128417969,0.9999996423721313
13,142.71316528320312,251.7028350830078,0.9999979734420776
14,148.21267700195312,245.22996520996094,0.9999998807907104
15,153.385498046875,240.49363708496094,0.9999995231628418
16,154.58328247070312,234.1202850341797,0.9999955892562866
17,160.9559783935547,229.4024658203125,0.9999995827674866
18,165.72738647460938,223.96453857421875,0.9999999403953552
19,167.99124145507812,218.8297576904297,0.9999998807907104
20,173.94363403320312,213.6631622314453,0.9999998807907104
21,178.92088317871094,208.1187286376953,0.9999998807907104
22,181.57493591308594,202.8607635498047,0.9999999403953552
23,187.30612182617188,198.12237548828125,0.9999997615814209
24,191.64993286132812,194.32618713378906,0.9999997615814209
25,193.91847229003906,189.50180053710938,0.999998927116394
26,197.06216430664062,185.2354278564453,0.9999992847442627
27,199.63589477539062,179.80921936035156,0.9999994039535522
28,202.38294982910156,176.92347717285156,0.9999979734420776
29,203.271728515625,171.41697692871094,0.9999529719352722
30,208.74771118164062,169.30319213867188,0.9999960064888
31,208.93617248535156,169.05247497558594,0.9999943971633911
32,208.0572967529297,170.16543579101562,0.9999775886535645
33,208.0166473388672,172.41648864746094,0.9999773502349854
34,209.5006103515625,173.8848114013672,0.9999637603759766
35,209.19032287597656,175.79681396484375,0.9999727606773376
36,210.2926483154297,178.4406280517578,0.999999463558197
37,209.68450927734375,180.0950164794922,0.9999997019767761
38,209.89218139648438,182.57394409179688,0.9999973773956299
39,212.0257568359375,185.4723358154297,0.9999992847442627
40,212.8570098876953,189.47854614257812,0.9999963045120239
41,214.23680114746094,193.05433654785156,0.9999993443489075
42,215.32411193847656,196.14842224121094,0.9999995231628418
43,217.8053741455078,201.55299377441406,0.9999985694885254
44,219.8278045654297,207.67868041992188,0.9999992847442627
